code,country,measure,unit_of_measure,statistical_operation,year,available_adult_icu_beds,observation_status
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,1822.0,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,1860.0,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,1965.0,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,2055.0,
AUS,Australia,Adult critical care hospital beds,Beds,Arithmetic mean,2015,1656.0,
AUS,Australia,Adult critical care hospital beds,Beds,Arithmetic mean,2016,1749.0,
AUS,Australia,Adult critical care hospital beds,Beds,Arithmetic mean,2017,1760.0,
AUS,Australia,Adult critical care hospital beds,Beds,Arithmetic mean,2018,1846.0,
AUS,Australia,Adult critical care hospital beds,Beds,Arithmetic mean,2019,1928.0,
AUT,Austria,Adult critical care hospital beds,Beds,Arithmetic mean,2015,1151.0,
AUT,Austria,Adult critical care hospital beds,Beds,Arithmetic mean,2016,1174.0,
AUT,Austria,Adult critical care hospital beds,Beds,Arithmetic mean,2017,1163.0,
AUT,Austria,Adult critical care hospital beds,Beds,Arithmetic mean,2018,1179.0,
AUT,Austria,Adult critical care hospital beds,Beds,Arithmetic mean,2019,1158.0,
AUS,Australia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,2227.0,
AUS,Australia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,2338.0,
AUS,Australia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,2394.0,
AUS,Australia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,2514.0,
AUS,Australia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,2618.0,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,401.0,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,406.0,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,414.0,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,423.0,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,430.0,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,102.0,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,110.0,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,120.0,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,126.0,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,133.0,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,1724.0,
CAN,Canada,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,4227.0,
CAN,Canada,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,4289.0,
CAN,Canada,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,4381.0,
CAN,Canada,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,4417.0,
CAN,Canada,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,4537.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,1878.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,1912.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,1917.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,1922.0,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1938.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2004,1994.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2005,2045.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2006,2108.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2007,2196.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2008,2218.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2009,2260.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2010,2296.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2011,2305.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2012,2357.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2013,2365.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2014,2364.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,2369.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,2421.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,2429.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,2451.0,
AUT,Austria,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,2469.0,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,263.0,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,278.0,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,294.0,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,305.0,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,308.0,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,228.0,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,231.0,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,218.0,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,224.0,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,223.0,
FRA,France,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,20671.0,
FRA,France,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,20944.0,
FRA,France,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,21268.0,
FRA,France,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,21300.0,
FRA,France,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,21531.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,17701.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,17933.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,18217.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,18233.0,
FRA,France,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,18395.0,
FRA,France,Adult critical care hospital beds,Beds,Arithmetic mean,2015,10614.0,
FRA,France,Adult critical care hospital beds,Beds,Arithmetic mean,2016,10749.0,
FRA,France,Adult critical care hospital beds,Beds,Arithmetic mean,2017,10911.0,
FRA,France,Adult critical care hospital beds,Beds,Arithmetic mean,2018,10894.0,
FRA,France,Adult critical care hospital beds,Beds,Arithmetic mean,2019,11034.0,
FIN,Finland,Adult critical care hospital beds,Beds,Arithmetic mean,2015,300.0,Definition differs
FIN,Finland,Adult critical care hospital beds,Beds,Arithmetic mean,2016,300.0,Definition differs
FIN,Finland,Adult critical care hospital beds,Beds,Arithmetic mean,2017,300.0,Definition differs
FIN,Finland,Adult critical care hospital beds,Beds,Arithmetic mean,2018,300.0,Definition differs
FIN,Finland,Adult critical care hospital beds,Beds,Arithmetic mean,2019,300.0,Definition differs
FIN,Finland,Adult critical care hospital beds,Beds,Maximum,2015,300.0,
FIN,Finland,Adult critical care hospital beds,Beds,Maximum,2016,300.0,
FIN,Finland,Adult critical care hospital beds,Beds,Maximum,2017,300.0,
FIN,Finland,Adult critical care hospital beds,Beds,Maximum,2018,300.0,
FIN,Finland,Adult critical care hospital beds,Beds,Maximum,2019,300.0,
EST,Estonia,Adult critical care hospital beds,Beds,Arithmetic mean,2015,418.05,Definition differs
EST,Estonia,Adult critical care hospital beds,Beds,Arithmetic mean,2016,418.38,Definition differs
EST,Estonia,Adult critical care hospital beds,Beds,Arithmetic mean,2017,407.15,Definition differs
EST,Estonia,Adult critical care hospital beds,Beds,Arithmetic mean,2018,409.6,Definition differs
EST,Estonia,Adult critical care hospital beds,Beds,Arithmetic mean,2019,412.8,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,492.05,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,486.39,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,497.77,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,498.51,Definition differs
EST,Estonia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,505.8,Definition differs
EST,Estonia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,492.05,
EST,Estonia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,486.39,
EST,Estonia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,497.77,
EST,Estonia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,498.51,
EST,Estonia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,505.8,
CZE,Czechia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,4670.0,
CZE,Czechia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,4609.0,
CZE,Czechia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,486.0,
CZE,Czechia,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,486.0,
CZE,Czechia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,5607.0,
CZE,Czechia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,5549.0,
CZE,Czechia,Adult critical care hospital beds,Beds,Arithmetic mean,2019,775.0,
CZE,Czechia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,451.0,
CZE,Czechia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,454.0,
CZE,Czechia,Adult critical care hospital beds,Beds,Arithmetic mean,2018,769.0,
CRI,Costa Rica,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,147.0,
CRI,Costa Rica,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,81.0,
CRI,Costa Rica,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,73.0,
CAN,Canada,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,1489.0,
CAN,Canada,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,1541.0,
CAN,Canada,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,1543.0,
CAN,Canada,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,1596.0,
CAN,Canada,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1623.0,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,224.0,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,224.0,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,224.0,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,224.0,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,227.0,
CAN,Canada,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,5940.0,
CAN,Canada,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,6054.0,
CAN,Canada,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,6148.0,
CAN,Canada,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,6237.0,
CAN,Canada,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,6387.0,
ISR,Israel,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,1747.0,
ISR,Israel,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,1773.0,
ISR,Israel,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,1805.0,
ISR,Israel,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,1855.0,
ISR,Israel,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1896.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2015,844.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2016,865.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2017,887.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2018,906.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2019,936.0,
ISR,Israel,Adult critical care hospital beds,Beds,Arithmetic mean,2015,797.0,
ISR,Israel,Adult critical care hospital beds,Beds,Arithmetic mean,2016,809.0,
ISR,Israel,Adult critical care hospital beds,Beds,Arithmetic mean,2017,824.0,
ISR,Israel,Adult critical care hospital beds,Beds,Arithmetic mean,2018,847.0,
ISR,Israel,Adult critical care hospital beds,Beds,Arithmetic mean,2019,868.0,
IRL,Ireland,Adult critical care hospital beds,Beds,Arithmetic mean,2015,238.0,
IRL,Ireland,Adult critical care hospital beds,Beds,Arithmetic mean,2016,234.0,
IRL,Ireland,Adult critical care hospital beds,Beds,Arithmetic mean,2017,240.0,
IRL,Ireland,Adult critical care hospital beds,Beds,Arithmetic mean,2018,249.0,
IRL,Ireland,Adult critical care hospital beds,Beds,Arithmetic mean,2019,255.0,
HUN,Hungary,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,196.0,
HUN,Hungary,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1828.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2019,1101.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,1126.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,1126.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,1119.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,1103.0,
HUN,Hungary,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1101.0,
HUN,Hungary,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,531.0,
GRC,Greece,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,71.0,
GRC,Greece,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,724.0,
GRC,Greece,Adult critical care hospital beds,Beds,Arithmetic mean,2019,1564.0,
GRC,Greece,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1880.0,
DEU,Germany,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,27609.0,
DEU,Germany,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,28031.0,
DEU,Germany,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,27464.0,
DEU,Germany,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,26319.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,24574.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,24752.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,25107.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,24523.0,
DEU,Germany,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,23442.0,
DEU,Germany,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,1972.0,
DEU,Germany,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,1973.0,
DEU,Germany,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,1962.0,
DEU,Germany,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,1973.0,
DEU,Germany,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1883.0,
DEU,Germany,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,943.0,
DEU,Germany,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,884.0,
DEU,Germany,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,962.0,
DEU,Germany,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,968.0,
DEU,Germany,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,994.0,
FRA,France,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,1926.0,
FRA,France,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,1935.0,
FRA,France,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,1936.0,
FRA,France,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1927.0,
FRA,France,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,1040.0,
FRA,France,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,1085.0,
FRA,France,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,1116.0,
FRA,France,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,1131.0,
FRA,France,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1209.0,
LVA,Latvia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,227.0,Definition differs
LVA,Latvia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,222.0,Definition differs
LVA,Latvia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,220.0,Definition differs
LVA,Latvia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,223.0,Definition differs
LVA,Latvia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,245.0,Definition differs
LVA,Latvia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,33.0,Definition differs
LVA,Latvia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,194.0,Definition differs
LVA,Latvia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,189.0,Definition differs
LVA,Latvia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,185.0,Definition differs
LVA,Latvia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,190.0,Definition differs
LVA,Latvia,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,212.0,Definition differs
LVA,Latvia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,33.0,Definition differs
