code,country,frequency_of_observation,measure,unit_of_measure,financing_scheme,financing_scheme_rev,health_function,mode_of_provision,provider,health_care_provider,year,health_expenditure_as_percent_gdp
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.659
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.75
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.729
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.674
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.672
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,9.063
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,8.959
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.089
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.97
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.74
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.656
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.535
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.487
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.352
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,5.957
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,5.185
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,4.974
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,5.295
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,4.781
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.164
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,6.702
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,6.641
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,6.362
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.281
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.095
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.078
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.594
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.845
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,6.772
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,6.691
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,6.597
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,5.338
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,5.139
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,4.703
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,4.184
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,4.281
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,5.373
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,5.148
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,2.936
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,3.329
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,5.135
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.28
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.961
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.76
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,6.381
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,1.842
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,2.964
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,2.869
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,2.914
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,2.604
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,2.517
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,2.107
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,2.905
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,2.868
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,3.021
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,2.924
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,2.235
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,1.969
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,2.106
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,2.904
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,2.989
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,2.791
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,2.623
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,2.548
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,2.807
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,9.547
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,9.395
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,9.269
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,9.709
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.199
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.026
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,10.221
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,10.226
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,9.726
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,9.532
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,9.531
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,9.627
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.349
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.384
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.488
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,9.204
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.352
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.368
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.368
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.286
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.469
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,7.536
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.956
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.589
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,5.509
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,5.332
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.303
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,6.973
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,6.762
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,6.884
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,7.495
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,7.299
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.177
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.851
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,6.92
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,7.666
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,7.948
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,6.666
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,6.757
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,5.448
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.828
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.695
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.902
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.708
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.019
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,6.608
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,7.121
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,7.038
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.051
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.96
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.96
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.823
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.872
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.901
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.225
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,7.258
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.196
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.804
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.855
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,4.396
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,4.161
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.687
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.658
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.431
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,9.88
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,9.46
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,9.134
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,11.229
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,10.005
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,10.142
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,9.532
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,9.417
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,9.58
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,10.058
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,11.426
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,11.199
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,11.413
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,10.137
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,10.226
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,11.004
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.7
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.615
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.348
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.119
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.169
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.092
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,7.52
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,7.552
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.195
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.944
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,7.118
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.817
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.814
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.61
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,5.498
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.018
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.417
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.346
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.442
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,7.784
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.546
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,5.992
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,5.725
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.307
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.589
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,8.745
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,8.669
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.563
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,8.419
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,8.542
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.965
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.872
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.674
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.247
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,8.052
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.972
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,8.083
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.877
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.65
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.801
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,6.769
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,6.799
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,8.949
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,9.124
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.087
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,9.066
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,9.156
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,9.168
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,9.119
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,9.108
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.382
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.919
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.829
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.74
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.09
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.174
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.825
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.052
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.112
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,8.534
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,9.135
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.213
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,8.999
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,8.947
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,5.465
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,5.294
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,5.952
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.925
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,5.071
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,5.081
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,5.23
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,4.487
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,4.8
