code,country,year,set_healtchare_capita_outcomes
AUS,Australia,2016,298.0
AUS,Australia,2016,0.011
AUS,Australia,2016,0.42
AUS,Australia,2016,100.0
AUS,Australia,2016,0.005
AUS,Australia,2017,100.0
AUS,Australia,2017,56.0
AUS,Australia,2017,0.035
AUS,Australia,2017,6718.709
AUS,Australia,2017,100.0
AUS,Australia,2017,154.0
AUS,Australia,2017,100.0
AUS,Australia,2017,642.0
AUS,Australia,2017,100.0
AUS,Australia,2017,7.0
AUS,Australia,2017,0.022
AUS,Australia,2017,100.0
AUS,Australia,2017,121.0
AUS,Australia,2017,100.0
AUS,Australia,2017,0.503
AUS,Australia,2017,100.0
AUS,Australia,2017,403.0
AUS,Australia,2017,1176.324
AUS,Australia,2017,100.0
AUS,Australia,2017,0.364
AUS,Australia,2017,0.008
AUS,Australia,2017,100.0
AUS,Australia,2017,0.064
AUS,Australia,2017,9278.033
AUS,Australia,2017,0.007
AUS,Australia,2017,0.003
AUS,Australia,2018,100.0
AUS,Australia,2018,126.0
AUS,Australia,2018,0.033
AUS,Australia,2018,8109.403
AUS,Australia,2018,100.0
AUS,Australia,2018,59.0
AUS,Australia,2018,100.0
AUS,Australia,2018,650.0
AUS,Australia,2018,100.0
AUS,Australia,2018,21.0
AUS,Australia,2018,0.029
AUS,Australia,2018,100.0
AUS,Australia,2018,127.0
AUS,Australia,2018,100.0
AUS,Australia,2018,0.536
AUS,Australia,2018,100.0
AUS,Australia,2018,570.0
AUS,Australia,2018,784.691
AUS,Australia,2018,100.0
AUS,Australia,2018,0.416
AUS,Australia,2018,0.003
AUS,Australia,2018,0.001
AUS,Australia,2018,100.0
AUS,Australia,2018,0.04
AUS,Australia,2018,10447.094
AUS,Australia,2018,0.007
AUS,Australia,2018,0.006
AUS,Australia,2019,100.0
AUS,Australia,2019,26.0
AUS,Australia,2019,0.043
AUS,Australia,2019,8366.366
AUS,Australia,2019,100.0
AUS,Australia,2019,59.0
AUS,Australia,2019,100.0
AUS,Australia,2019,855.0
AUS,Australia,2019,100.0
AUS,Australia,2019,39.0
AUS,Australia,2019,0.028
AUS,Australia,2019,100.0
AUS,Australia,2019,182.0
AUS,Australia,2019,100.0
AUS,Australia,2019,0.562
AUS,Australia,2019,100.0
AUS,Australia,2019,557.0
AUS,Australia,2019,1060.673
AUS,Australia,2019,100.0
AUS,Australia,2019,0.422
AUS,Australia,2019,0.003
AUS,Australia,2019,0.002
AUS,Australia,2019,100.0
AUS,Australia,2019,0.053
AUS,Australia,2019,11145.039
AUS,Australia,2019,0.009
AUS,Australia,2019,0.001
AUT,Austria,2000,1322.237
AUT,Austria,2000,0.619
AUT,Austria,2000,100.0
AUT,Austria,2001,1233.65
AUT,Austria,2001,0.559
AUT,Austria,2001,100.0
AUT,Austria,2002,1347.182
AUT,Austria,2002,0.594
AUT,Austria,2002,100.0
AUT,Austria,2003,1443.882
AUT,Austria,2003,0.623
AUT,Austria,2003,100.0
AUT,Austria,2004,1517.168
AUT,Austria,2004,0.626
AUT,Austria,2004,100.0
AUT,Austria,2005,1603.653
AUT,Austria,2005,0.631
AUT,Austria,2005,100.0
AUT,Austria,2006,1567.007
AUT,Austria,2006,0.585
AUT,Austria,2006,100.0
AUT,Austria,2007,1763.454
AUT,Austria,2007,0.621
AUT,Austria,2007,100.0
AUT,Austria,2008,1875.362
AUT,Austria,2008,0.638
AUT,Austria,2008,100.0
AUT,Austria,2009,1905.669
AUT,Austria,2009,0.662
AUT,Austria,2009,100.0
AUT,Austria,2010,2052.634
AUT,Austria,2010,0.694
AUT,Austria,2010,100.0
AUT,Austria,2011,2159.105
AUT,Austria,2011,0.696
AUT,Austria,2011,100.0
AUT,Austria,2012,2428.564
AUT,Austria,2012,0.762
AUT,Austria,2012,100.0
AUT,Austria,2013,2373.852
AUT,Austria,2013,0.733
AUT,Austria,2013,100.0
AUT,Austria,2014,2508.619
AUT,Austria,2014,0.753
AUT,Austria,2014,100.0
AUT,Austria,2015,2687.866
AUT,Austria,2015,0.781
AUT,Austria,2015,100.0
AUT,Austria,2016,2592.713
AUT,Austria,2016,0.725
AUT,Austria,2016,100.0
AUT,Austria,2017,2823.501
AUT,Austria,2017,0.764
AUT,Austria,2017,100.0
AUT,Austria,2018,2874.125
AUT,Austria,2018,0.746
AUT,Austria,2018,100.0
AUT,Austria,2019,2728.955
AUT,Austria,2019,0.687
AUT,Austria,2019,100.0
BRA,Brazil,2015,0.29
BRA,Brazil,2015,100.0
BRA,Brazil,2015,17360.268
BRA,Brazil,2016,0.317
BRA,Brazil,2016,19887.385
BRA,Brazil,2016,100.0
BRA,Brazil,2017,100.0
BRA,Brazil,2017,16695.159
BRA,Brazil,2017,0.254
BRA,Brazil,2018,0.336
BRA,Brazil,2018,100.0
BRA,Brazil,2018,23560.141
BRA,Brazil,2019,0.292
BRA,Brazil,2019,100.0
BRA,Brazil,2019,21612.616
CAN,Canada,2000,0.359
CAN,Canada,2000,3965.522
CAN,Canada,2000,100.0
CAN,Canada,2001,0.394
CAN,Canada,2001,4508.707
CAN,Canada,2001,100.0
CAN,Canada,2002,0.413
CAN,Canada,2002,4933.038
CAN,Canada,2002,100.0
CAN,Canada,2003,0.122
CAN,Canada,2003,3606.7
CAN,Canada,2003,412.698
CAN,Canada,2003,0.446
CAN,Canada,2003,100.0
CAN,Canada,2003,100.0
CAN,Canada,2003,100.0
CAN,Canada,2003,1527.902
CAN,Canada,2003,0.004
CAN,Canada,2003,100.0
CAN,Canada,2003,5601.639
CAN,Canada,2003,0.287
CAN,Canada,2003,100.0
CAN,Canada,2003,0.033
CAN,Canada,2003,54.339
CAN,Canada,2004,0.085
CAN,Canada,2004,3918.773
CAN,Canada,2004,377.958
CAN,Canada,2004,0.413
CAN,Canada,2004,100.0
CAN,Canada,2004,100.0
CAN,Canada,2004,100.0
CAN,Canada,2004,1139.577
CAN,Canada,2004,0.006
CAN,Canada,2004,100.0
CAN,Canada,2004,5509.958
CAN,Canada,2004,0.293
CAN,Canada,2004,100.0
CAN,Canada,2004,0.028
CAN,Canada,2004,73.65
CAN,Canada,2005,0.1
CAN,Canada,2005,4680.389
CAN,Canada,2005,382.444
CAN,Canada,2005,0.464
CAN,Canada,2005,100.0
CAN,Canada,2005,100.0
CAN,Canada,2005,100.0
CAN,Canada,2005,1424.41
CAN,Canada,2005,0.008
CAN,Canada,2005,100.0
CAN,Canada,2005,6596.713
CAN,Canada,2005,0.329
CAN,Canada,2005,100.0
CAN,Canada,2005,0.027
CAN,Canada,2005,109.47
CAN,Canada,2006,0.1
CAN,Canada,2006,0.324
CAN,Canada,2006,5190.378
CAN,Canada,2006,0.003
CAN,Canada,2006,65.988
CAN,Canada,2006,111.651
CAN,Canada,2006,0.02
CAN,Canada,2006,0.229
CAN,Canada,2006,30.007
CAN,Canada,2006,69.993
CAN,Canada,2006,0.118
CAN,Canada,2006,415.734
CAN,Canada,2006,0.16
CAN,Canada,2006,3425.043
CAN,Canada,2006,0.484
CAN,Canada,2006,34.012
CAN,Canada,2006,1209.876
CAN,Canada,2006,304.083
CAN,Canada,2006,18.822
CAN,Canada,2006,100.0
CAN,Canada,2006,73.144
CAN,Canada,2006,280.526
CAN,Canada,2006,100.0
CAN,Canada,2006,81.178
CAN,Canada,2006,26.856
CAN,Canada,2006,100.0
CAN,Canada,2006,1765.335
CAN,Canada,2006,0.019
CAN,Canada,2006,33.052
CAN,Canada,2006,1490.402
CAN,Canada,2006,0.007
CAN,Canada,2006,0.01
CAN,Canada,2006,0.081
CAN,Canada,2006,100.0
CAN,Canada,2006,7240.972
CAN,Canada,2006,66.948
CAN,Canada,2006,43.348
CAN,Canada,2006,4847.68
CAN,Canada,2006,0.007
CAN,Canada,2006,101.11
CAN,Canada,2006,0.347
CAN,Canada,2006,2393.292
CAN,Canada,2006,100.0
CAN,Canada,2006,0.028
CAN,Canada,2006,144.458
CAN,Canada,2007,0.118
CAN,Canada,2007,0.28
CAN,Canada,2007,0.613
CAN,Canada,2007,402.625
CAN,Canada,2007,17.275
CAN,Canada,2007,100.0
CAN,Canada,2007,82.725
CAN,Canada,2007,0.003
CAN,Canada,2007,7075.642
CAN,Canada,2007,0.396
CAN,Canada,2007,0.026
CAN,Canada,2007,192.592
CAN,Canada,2007,62.478
CAN,Canada,2007,0.168
CAN,Canada,2007,36.756
CAN,Canada,2007,63.244
CAN,Canada,2007,4420.743
CAN,Canada,2007,0.217
CAN,Canada,2007,595.217
CAN,Canada,2007,1536.596
CAN,Canada,2007,37.522
CAN,Canada,2007,100.0
CAN,Canada,2007,32.357
CAN,Canada,2007,67.643
CAN,Canada,2007,320.888
CAN,Canada,2007,2654.899
CAN,Canada,2007,100.0
CAN,Canada,2007,0.02
CAN,Canada,2007,1857.483
CAN,Canada,2007,0.097
CAN,Canada,2007,9672.305
CAN,Canada,2007,100.0
CAN,Canada,2007,143.963
CAN,Canada,2007,35.476
CAN,Canada,2007,0.009
CAN,Canada,2007,0.006
CAN,Canada,2007,100.0
CAN,Canada,2007,91.049
CAN,Canada,2007,0.012
CAN,Canada,2007,6240.979
CAN,Canada,2007,52.915
CAN,Canada,2007,64.524
CAN,Canada,2007,3431.326
CAN,Canada,2007,0.448
CAN,Canada,2007,0.038
CAN,Canada,2008,0.083
CAN,Canada,2008,0.327
CAN,Canada,2008,5725.439
CAN,Canada,2008,0.002
CAN,Canada,2008,379.439
CAN,Canada,2008,65.821
CAN,Canada,2008,0.024
CAN,Canada,2008,0.227
CAN,Canada,2008,59.35
CAN,Canada,2008,40.65
CAN,Canada,2008,0.118
CAN,Canada,2008,772.835
CAN,Canada,2008,0.152
CAN,Canada,2008,3768.562
CAN,Canada,2008,0.479
CAN,Canada,2008,34.179
CAN,Canada,2008,1240.494
CAN,Canada,2008,393.396
CAN,Canada,2008,9.943
CAN,Canada,2008,100.0
CAN,Canada,2008,50.903
CAN,Canada,2008,136.965
CAN,Canada,2008,100.0
CAN,Canada,2008,49.097
CAN,Canada,2008,100.0
CAN,Canada,2008,1956.877
CAN,Canada,2008,0.008
CAN,Canada,2008,90.057
CAN,Canada,2008,31.805
CAN,Canada,2008,1377.459
CAN,Canada,2008,0.002
CAN,Canada,2008,0.004
CAN,Canada,2008,0.075
CAN,Canada,2008,100.0
CAN,Canada,2008,7939.789
CAN,Canada,2008,68.195
CAN,Canada,2008,38.017
CAN,Canada,2008,5414.534
CAN,Canada,2008,0.023
CAN,Canada,2008,26.039
CAN,Canada,2008,0.346
CAN,Canada,2008,2525.255
CAN,Canada,2008,100.0
CAN,Canada,2008,0.047
CAN,Canada,2008,64.056
CAN,Canada,2009,0.092
CAN,Canada,2009,0.375
CAN,Canada,2009,6241.63
CAN,Canada,2009,0.004
CAN,Canada,2009,294.75
CAN,Canada,2009,70.232
CAN,Canada,2009,0.032
CAN,Canada,2009,0.279
CAN,Canada,2009,43.906
CAN,Canada,2009,56.094
CAN,Canada,2009,0.118
CAN,Canada,2009,793.241
CAN,Canada,2009,0.173
CAN,Canada,2009,4383.599
CAN,Canada,2009,0.548
CAN,Canada,2009,29.768
CAN,Canada,2009,1133.864
CAN,Canada,2009,498.491
CAN,Canada,2009,21.495
CAN,Canada,2009,100.0
CAN,Canada,2009,62.842
CAN,Canada,2009,310.463
CAN,Canada,2009,100.0
CAN,Canada,2009,37.158
CAN,Canada,2009,78.505
CAN,Canada,2009,100.0
CAN,Canada,2009,1858.031
CAN,Canada,2009,0.02
CAN,Canada,2009,31.642
CAN,Canada,2009,1444.327
CAN,Canada,2009,0.005
CAN,Canada,2009,0.008
CAN,Canada,2009,0.072
CAN,Canada,2009,100.0
CAN,Canada,2009,8609.858
CAN,Canada,2009,68.358
CAN,Canada,2009,57.368
CAN,Canada,2009,5885.505
CAN,Canada,2009,0.019
CAN,Canada,2009,73.292
CAN,Canada,2009,0.397
CAN,Canada,2009,2724.353
CAN,Canada,2009,100.0
CAN,Canada,2009,0.05
CAN,Canada,2009,130.66
CAN,Canada,2010,0.085
CAN,Canada,2010,0.421
CAN,Canada,2010,6927.097
CAN,Canada,2010,0.005
CAN,Canada,2010,539.805
CAN,Canada,2010,75.483
CAN,Canada,2010,0.041
CAN,Canada,2010,0.314
CAN,Canada,2010,40.627
CAN,Canada,2010,59.373
CAN,Canada,2010,0.102
CAN,Canada,2010,1220.841
CAN,Canada,2010,0.165
CAN,Canada,2010,5228.78
CAN,Canada,2010,0.586
CAN,Canada,2010,24.517
CAN,Canada,2010,1137.666
CAN,Canada,2010,681.036
CAN,Canada,2010,20.107
CAN,Canada,2010,100.0
CAN,Canada,2010,55.784
CAN,Canada,2010,286.319
CAN,Canada,2010,100.0
CAN,Canada,2010,44.216
CAN,Canada,2010,79.893
CAN,Canada,2010,100.0
CAN,Canada,2010,1698.317
CAN,Canada,2010,0.017
CAN,Canada,2010,28.101
CAN,Canada,2010,0.007
CAN,Canada,2010,0.012
CAN,Canada,2010,0.068
CAN,Canada,2010,100.0
CAN,Canada,2010,9764.851
CAN,Canada,2010,71.899
CAN,Canada,2010,78.381
CAN,Canada,2010,7020.799
CAN,Canada,2010,0.032
CAN,Canada,2010,114.548
CAN,Canada,2010,0.416
CAN,Canada,2010,2744.052
CAN,Canada,2010,100.0
CAN,Canada,2010,0.073
CAN,Canada,2010,192.929
CAN,Canada,2010,1423.984
CAN,Canada,2011,0.091
CAN,Canada,2011,0.409
CAN,Canada,2011,7245.188
CAN,Canada,2011,0.005
CAN,Canada,2011,373.847
CAN,Canada,2011,75.207
CAN,Canada,2011,0.027
CAN,Canada,2011,0.307
CAN,Canada,2011,48.189
CAN,Canada,2011,51.811
CAN,Canada,2011,0.101
CAN,Canada,2011,844.593
CAN,Canada,2011,0.149
CAN,Canada,2011,5448.869
CAN,Canada,2011,0.558
CAN,Canada,2011,24.793
CAN,Canada,2011,1328.132
CAN,Canada,2011,470.746
CAN,Canada,2011,17.512
CAN,Canada,2011,100.0
CAN,Canada,2011,55.736
CAN,Canada,2011,281.958
CAN,Canada,2011,100.0
CAN,Canada,2011,44.264
CAN,Canada,2011,82.488
CAN,Canada,2011,100.0
CAN,Canada,2011,1796.32
CAN,Canada,2011,0.016
CAN,Canada,2011,26.709
CAN,Canada,2011,1610.089
CAN,Canada,2011,0.006
CAN,Canada,2011,0.011
CAN,Canada,2011,0.075
CAN,Canada,2011,100.0
CAN,Canada,2011,9894.097
CAN,Canada,2011,73.291
CAN,Canada,2011,93.595
CAN,Canada,2011,7251.478
CAN,Canada,2011,0.021
CAN,Canada,2011,100.631
CAN,Canada,2011,0.408
CAN,Canada,2011,2642.619
CAN,Canada,2011,100.0
CAN,Canada,2011,0.048
CAN,Canada,2011,194.226
CAN,Canada,2012,0.388
CAN,Canada,2012,6929.231
CAN,Canada,2012,0.004
CAN,Canada,2012,728.016
CAN,Canada,2012,71.771
CAN,Canada,2012,0.043
CAN,Canada,2012,0.272
CAN,Canada,2012,36.959
CAN,Canada,2012,63.041
CAN,Canada,2012,0.107
CAN,Canada,2012,1510.798
CAN,Canada,2012,0.169
CAN,Canada,2012,4973.18
CAN,Canada,2012,0.557
CAN,Canada,2012,28.229
CAN,Canada,2012,1252.706
CAN,Canada,2012,782.782
CAN,Canada,2012,17.795
CAN,Canada,2012,100.0
CAN,Canada,2012,51.812
CAN,Canada,2012,271.172
CAN,Canada,2012,100.0
CAN,Canada,2012,48.188
CAN,Canada,2012,82.205
CAN,Canada,2012,100.0
CAN,Canada,2012,1956.051
CAN,Canada,2012,0.015
CAN,Canada,2012,0.083
CAN,Canada,2012,30.346
CAN,Canada,2012,1523.878
CAN,Canada,2012,0.007
CAN,Canada,2012,0.011
CAN,Canada,2012,0.069
CAN,Canada,2012,100.0
CAN,Canada,2012,10170.21
CAN,Canada,2012,69.654
CAN,Canada,2012,76.247
CAN,Canada,2012,7083.959
CAN,Canada,2012,0.04
CAN,Canada,2012,130.056
CAN,Canada,2012,0.379
CAN,Canada,2012,3086.252
CAN,Canada,2012,100.0
CAN,Canada,2012,0.083
CAN,Canada,2012,206.303
CAN,Canada,2013,0.085
CAN,Canada,2013,0.352
CAN,Canada,2013,6321.455
CAN,Canada,2013,0.003
CAN,Canada,2013,472.854
CAN,Canada,2013,75.139
CAN,Canada,2013,0.033
CAN,Canada,2013,0.25
CAN,Canada,2013,38.737
CAN,Canada,2013,61.263
CAN,Canada,2013,0.083
CAN,Canada,2013,1101.521
CAN,Canada,2013,0.131
CAN,Canada,2013,4749.892
CAN,Canada,2013,0.483
CAN,Canada,2013,24.861
CAN,Canada,2013,1387.941
CAN,Canada,2013,628.667
CAN,Canada,2013,14.539
CAN,Canada,2013,100.0
CAN,Canada,2013,57.073
CAN,Canada,2013,236.115
CAN,Canada,2013,100.0
CAN,Canada,2013,42.927
CAN,Canada,2013,85.461
CAN,Canada,2013,100.0
CAN,Canada,2013,1571.563
CAN,Canada,2013,0.012
CAN,Canada,2013,27.116
CAN,Canada,2013,1624.056
CAN,Canada,2013,0.005
CAN,Canada,2013,0.008
CAN,Canada,2013,0.073
CAN,Canada,2013,100.0
CAN,Canada,2013,9192.222
CAN,Canada,2013,72.884
CAN,Canada,2013,56.243
CAN,Canada,2013,6699.635
CAN,Canada,2013,0.025
CAN,Canada,2013,88.947
CAN,Canada,2013,0.332
CAN,Canada,2013,2492.587
CAN,Canada,2013,100.0
CAN,Canada,2013,0.058
CAN,Canada,2013,145.189
CAN,Canada,2014,0.072
CAN,Canada,2014,0.316
CAN,Canada,2014,6056.511
CAN,Canada,2014,0.003
CAN,Canada,2014,500.252
CAN,Canada,2014,75.349
CAN,Canada,2014,0.028
CAN,Canada,2014,0.229
CAN,Canada,2014,40.231
CAN,Canada,2014,59.769
CAN,Canada,2014,0.075
CAN,Canada,2014,1061.629
CAN,Canada,2014,0.12
CAN,Canada,2014,4563.495
CAN,Canada,2014,0.436
CAN,Canada,2014,24.651
CAN,Canada,2014,1159.548
CAN,Canada,2014,561.376
CAN,Canada,2014,18.895
CAN,Canada,2014,100.0
CAN,Canada,2014,52.879
CAN,Canada,2014,270.132
CAN,Canada,2014,81.105
CAN,Canada,2014,47.121
CAN,Canada,2014,100.0
CAN,Canada,2014,1493.016
CAN,Canada,2014,0.014
CAN,Canada,2014,100.0
CAN,Canada,2014,27.417
CAN,Canada,2014,1429.68
CAN,Canada,2014,0.004
CAN,Canada,2014,0.007
CAN,Canada,2014,0.058
CAN,Canada,2014,100.0
CAN,Canada,2014,8696.006
CAN,Canada,2014,72.583
CAN,Canada,2014,59.616
CAN,Canada,2014,6311.865
CAN,Canada,2014,0.025
CAN,Canada,2014,88.57
CAN,Canada,2014,0.304
CAN,Canada,2014,2384.141
CAN,Canada,2014,100.0
CAN,Canada,2014,0.053
CAN,Canada,2014,148.186
CAN,Canada,2015,0.086
CAN,Canada,2015,0.319
CAN,Canada,2015,5613.864
CAN,Canada,2015,0.005
CAN,Canada,2015,768.734
CAN,Canada,2015,72.618
CAN,Canada,2015,0.039
CAN,Canada,2015,0.205
CAN,Canada,2015,49.857
CAN,Canada,2015,50.143
CAN,Canada,2015,0.077
CAN,Canada,2015,1543.281
CAN,Canada,2015,0.136
CAN,Canada,2015,4076.693
CAN,Canada,2015,0.456
CAN,Canada,2015,27.382
CAN,Canada,2015,1402.776
CAN,Canada,2015,774.547
CAN,Canada,2015,17.619
CAN,Canada,2015,100.0
CAN,Canada,2015,50.188
CAN,Canada,2015,300.025
CAN,Canada,2015,100.0
CAN,Canada,2015,82.381
CAN,Canada,2015,49.812
CAN,Canada,2015,100.0
CAN,Canada,2015,1537.172
CAN,Canada,2015,0.015
CAN,Canada,2015,29.944
CAN,Canada,2015,1702.801
CAN,Canada,2015,0.005
CAN,Canada,2015,0.01
CAN,Canada,2015,0.07
CAN,Canada,2015,100.0
CAN,Canada,2015,9067.057
CAN,Canada,2015,70.056
CAN,Canada,2015,103.26
CAN,Canada,2015,6352.054
CAN,Canada,2015,0.039
CAN,Canada,2015,103.851
CAN,Canada,2015,0.282
CAN,Canada,2015,2715.003
CAN,Canada,2015,100.0
CAN,Canada,2015,0.078
CAN,Canada,2015,207.111
CAN,Canada,2016,0.068
CAN,Canada,2016,0.285
CAN,Canada,2016,5544.612
CAN,Canada,2016,0.004
CAN,Canada,2016,608.876
CAN,Canada,2016,72.546
CAN,Canada,2016,0.04
CAN,Canada,2016,0.199
CAN,Canada,2016,35.895
CAN,Canada,2016,64.105
CAN,Canada,2016,0.075
CAN,Canada,2016,1416.13
CAN,Canada,2016,0.139
CAN,Canada,2016,4022.421
CAN,Canada,2016,0.424
CAN,Canada,2016,27.454
CAN,Canada,2016,978.654
CAN,Canada,2016,807.254
CAN,Canada,2016,100.0
CAN,Canada,2016,57.004
CAN,Canada,2016,396.652
CAN,Canada,2016,100.0
CAN,Canada,2016,71.159
CAN,Canada,2016,42.996
CAN,Canada,2016,100.0
CAN,Canada,2016,1522.191
CAN,Canada,2016,0.02
CAN,Canada,2016,28.841
CAN,Canada,2016,32.793
CAN,Canada,2016,1375.306
CAN,Canada,2016,0.008
CAN,Canada,2016,0.012
CAN,Canada,2016,100.0
CAN,Canada,2016,8578.942
CAN,Canada,2016,67.207
CAN,Canada,2016,87.187
CAN,Canada,2016,5765.658
CAN,Canada,2016,0.03
CAN,Canada,2016,155.707
CAN,Canada,2016,0.274
CAN,Canada,2016,2813.284
CAN,Canada,2016,100.0
CAN,Canada,2016,0.07
CAN,Canada,2016,242.894
CAN,Canada,2016,0.048
CAN,Canada,2018,0.058
CAN,Canada,2018,0.254
CAN,Canada,2018,5197.206
CAN,Canada,2018,0.009
CAN,Canada,2018,701.599
CAN,Canada,2018,72.118
CAN,Canada,2018,0.037
CAN,Canada,2018,0.168
CAN,Canada,2018,42.098
CAN,Canada,2018,57.902
CAN,Canada,2018,0.065
CAN,Canada,2018,1531.584
CAN,Canada,2018,0.128
CAN,Canada,2018,3748.128
CAN,Canada,2018,0.382
CAN,Canada,2018,27.882
CAN,Canada,2018,939.567
CAN,Canada,2018,829.986
CAN,Canada,2018,27.721
CAN,Canada,2018,100.0
CAN,Canada,2018,54.191
CAN,Canada,2018,360.35
CAN,Canada,2018,100.0
CAN,Canada,2018,72.279
CAN,Canada,2018,45.809
CAN,Canada,2018,100.0
CAN,Canada,2018,1449.078
CAN,Canada,2018,0.016
CAN,Canada,2018,33.418
CAN,Canada,2018,1299.917
CAN,Canada,2018,0.013
CAN,Canada,2018,0.022
CAN,Canada,2018,0.042
CAN,Canada,2018,100.0
CAN,Canada,2018,8530.834
CAN,Canada,2018,66.582
CAN,Canada,2018,211.385
CAN,Canada,2018,5680.035
CAN,Canada,2018,0.031
CAN,Canada,2018,290.741
CAN,Canada,2018,0.232
CAN,Canada,2018,2850.798
CAN,Canada,2018,100.0
CAN,Canada,2018,0.069
CAN,Canada,2018,502.126
CAN,Canada,2019,0.074
CAN,Canada,2019,0.267
CAN,Canada,2019,5457.52
CAN,Canada,2019,0.007
CAN,Canada,2019,72.892
CAN,Canada,2019,692.264
CAN,Canada,2019,0.029
CAN,Canada,2019,0.172
CAN,Canada,2019,38.645
CAN,Canada,2019,61.355
CAN,Canada,2019,0.064
CAN,Canada,2019,1369.417
CAN,Canada,2019,0.121
CAN,Canada,2019,3978.076
CAN,Canada,2019,0.388
CAN,Canada,2019,27.108
CAN,Canada,2019,1236.673
CAN,Canada,2019,677.153
CAN,Canada,2019,27.883
CAN,Canada,2019,100.0
CAN,Canada,2019,49.448
CAN,Canada,2019,478.136
CAN,Canada,2019,100.0
CAN,Canada,2019,72.117
CAN,Canada,2019,50.552
CAN,Canada,2019,100.0
CAN,Canada,2019,1479.445
CAN,Canada,2019,0.021
CAN,Canada,2019,31.224
CAN,Canada,2019,1714.809
CAN,Canada,2019,0.012
CAN,Canada,2019,0.019
CAN,Canada,2019,0.053
CAN,Canada,2019,100.0
CAN,Canada,2019,8977.51
CAN,Canada,2019,68.776
CAN,Canada,2019,168.399
CAN,Canada,2019,6174.378
CAN,Canada,2019,0.03
CAN,Canada,2019,267.365
CAN,Canada,2019,0.236
CAN,Canada,2019,2803.132
CAN,Canada,2019,100.0
CAN,Canada,2019,0.059
CAN,Canada,2019,435.764
CHL,Chile,2000,100.0
CHL,Chile,2000,42876.936
CHL,Chile,2000,0.102
CHL,Chile,2001,100.0
