code,country,year,med_tech_availability_p_mil_ppl
AUS,Australia,2011,5.6
AUS,Australia,2012,221.0
AUS,Australia,2012,125.0
AUS,Australia,2012,517.0
AUS,Australia,2012,456.0
AUS,Australia,2012,42.0
AUS,Australia,2012,1148.0
AUS,Australia,2012,9.72
AUS,Australia,2012,50.5
AUS,Australia,2012,20.06
AUS,Australia,2012,22.74
AUS,Australia,2012,1.85
AUS,Australia,2012,5.5
AUS,Australia,2013,234.0
AUS,Australia,2013,320.0
AUS,Australia,2013,521.0
AUS,Australia,2013,462.0
AUS,Australia,2013,47.0
AUS,Australia,2013,1241.0
AUS,Australia,2013,10.12
AUS,Australia,2013,53.66
AUS,Australia,2013,19.98
AUS,Australia,2013,22.53
AUS,Australia,2013,2.03
AUS,Australia,2013,13.84
AUS,Australia,2014,248.0
AUS,Australia,2014,344.0
AUS,Australia,2014,540.0
AUS,Australia,2014,460.0
AUS,Australia,2014,56.0
AUS,Australia,2014,1316.0
AUS,Australia,2014,10.56
AUS,Australia,2014,56.06
AUS,Australia,2014,19.59
AUS,Australia,2014,23.0
AUS,Australia,2014,2.39
AUS,Australia,2014,14.65
AUS,Australia,2015,258.0
AUS,Australia,2015,345.0
AUS,Australia,2015,547.0
AUS,Australia,2015,462.0
AUS,Australia,2015,63.0
AUS,Australia,2015,1418.0
AUS,Australia,2015,59.54
AUS,Australia,2015,10.83
AUS,Australia,2015,19.4
AUS,Australia,2015,22.97
AUS,Australia,2015,2.65
AUS,Australia,2015,14.49
AUS,Australia,2016,259.0
AUS,Australia,2016,346.0
AUS,Australia,2016,562.0
AUS,Australia,2016,465.0
AUS,Australia,2016,74.0
AUS,Australia,2016,1524.0
AUS,Australia,2016,10.71
AUS,Australia,2016,14.3
AUS,Australia,2016,19.22
AUS,Australia,2016,23.23
AUS,Australia,2016,3.06
AUS,Australia,2016,63.0
AUS,Australia,2017,256.0
AUS,Australia,2017,348.0
AUS,Australia,2017,571.0
AUS,Australia,2017,464.0
AUS,Australia,2017,81.0
AUS,Australia,2017,1583.0
AUS,Australia,2017,10.41
AUS,Australia,2017,14.15
AUS,Australia,2017,18.87
AUS,Australia,2017,23.22
AUS,Australia,2017,3.29
AUS,Australia,2017,64.37
AUS,Australia,2018,352.0
AUS,Australia,2018,265.0
AUS,Australia,2018,593.0
AUS,Australia,2018,470.0
AUS,Australia,2018,96.0
AUS,Australia,2018,1681.0
AUS,Australia,2018,10.61
AUS,Australia,2018,14.1
AUS,Australia,2018,18.82
AUS,Australia,2018,23.75
AUS,Australia,2018,3.85
AUS,Australia,2018,67.33
AUS,Australia,2019,375.0
AUS,Australia,2019,291.0
AUS,Australia,2019,590.0
AUS,Australia,2019,472.0
AUS,Australia,2019,95.0
AUS,Australia,2019,1769.0
AUS,Australia,2019,11.48
AUS,Australia,2019,14.8
AUS,Australia,2019,18.63
AUS,Australia,2019,23.28
AUS,Australia,2019,3.75
AUS,Australia,2019,69.81
AUT,Austria,2000,34.0
AUT,Austria,2000,39.0
AUT,Austria,2000,9.0
AUT,Austria,2000,80.0
AUT,Austria,2000,9.0
AUT,Austria,2000,23.0
AUT,Austria,2000,0.0
AUT,Austria,2000,209.0
AUT,Austria,2000,88.0
AUT,Austria,2000,0.0
AUT,Austria,2000,131.0
AUT,Austria,2000,103.0
AUT,Austria,2000,49.0
AUT,Austria,2000,78.0
AUT,Austria,2000,34.0
AUT,Austria,2000,1.12
AUT,Austria,2000,10.98
AUT,Austria,2000,9.99
AUT,Austria,2000,4.87
AUT,Austria,2000,12.86
AUT,Austria,2000,6.12
AUT,Austria,2000,16.35
AUT,Austria,2000,1.12
AUT,Austria,2000,4.24
AUT,Austria,2000,2.87
AUT,Austria,2000,0.0
AUT,Austria,2000,26.09
AUT,Austria,2000,4.24
AUT,Austria,2000,9.74
AUT,Austria,2000,0.0
AUT,Austria,2001,36.0
AUT,Austria,2001,41.0
AUT,Austria,2001,11.0
AUT,Austria,2001,80.0
AUT,Austria,2001,10.0
AUT,Austria,2001,25.0
AUT,Austria,2001,1.0
AUT,Austria,2001,214.0
AUT,Austria,2001,94.0
AUT,Austria,2001,0.0
AUT,Austria,2001,133.0
AUT,Austria,2001,105.0
AUT,Austria,2001,53.0
AUT,Austria,2001,81.0
AUT,Austria,2001,36.0
AUT,Austria,2001,1.24
AUT,Austria,2001,11.69
AUT,Austria,2001,9.95
AUT,Austria,2001,13.06
AUT,Austria,2001,6.59
AUT,Austria,2001,16.54
AUT,Austria,2001,1.37
AUT,Austria,2001,4.48
AUT,Austria,2001,3.11
AUT,Austria,2001,0.0
AUT,Austria,2001,26.61
AUT,Austria,2001,4.48
AUT,Austria,2001,10.07
AUT,Austria,2001,0.12
AUT,Austria,2001,5.1
AUT,Austria,2002,36.0
AUT,Austria,2002,50.0
AUT,Austria,2002,12.0
AUT,Austria,2002,79.0
AUT,Austria,2002,11.0
AUT,Austria,2002,28.0
AUT,Austria,2002,1.0
AUT,Austria,2002,219.0
AUT,Austria,2002,108.0
AUT,Austria,2002,0.0
AUT,Austria,2002,136.0
AUT,Austria,2002,107.0
AUT,Austria,2002,58.0
AUT,Austria,2002,83.0
AUT,Austria,2002,36.0
AUT,Austria,2002,1.36
AUT,Austria,2002,13.36
AUT,Austria,2002,9.77
AUT,Austria,2002,10.27
AUT,Austria,2002,13.24
AUT,Austria,2002,7.18
AUT,Austria,2002,16.83
AUT,Austria,2002,1.48
AUT,Austria,2002,4.45
AUT,Austria,2002,3.46
AUT,Austria,2002,0.0
AUT,Austria,2002,27.1
AUT,Austria,2002,4.45
AUT,Austria,2002,6.19
AUT,Austria,2002,0.12
AUT,Austria,2003,36.0
AUT,Austria,2003,51.0
AUT,Austria,2003,13.0
AUT,Austria,2003,79.0
AUT,Austria,2003,12.0
AUT,Austria,2003,28.0
AUT,Austria,2003,1.0
AUT,Austria,2003,221.0
AUT,Austria,2003,110.0
AUT,Austria,2003,0.0
AUT,Austria,2003,137.0
AUT,Austria,2003,107.0
AUT,Austria,2003,59.0
AUT,Austria,2003,84.0
AUT,Austria,2003,36.0
AUT,Austria,2003,1.48
AUT,Austria,2003,13.55
AUT,Austria,2003,9.73
AUT,Austria,2003,10.35
AUT,Austria,2003,13.18
AUT,Austria,2003,7.27
AUT,Austria,2003,16.88
AUT,Austria,2003,1.6
AUT,Austria,2003,4.43
AUT,Austria,2003,3.45
AUT,Austria,2003,0.0
AUT,Austria,2003,27.22
AUT,Austria,2003,4.43
AUT,Austria,2003,6.28
AUT,Austria,2003,0.12
AUT,Austria,2004,37.0
AUT,Austria,2004,55.0
AUT,Austria,2004,14.0
AUT,Austria,2004,79.0
AUT,Austria,2004,13.0
AUT,Austria,2004,29.0
AUT,Austria,2004,1.0
AUT,Austria,2004,239.0
AUT,Austria,2004,130.0
AUT,Austria,2004,0.0
AUT,Austria,2004,152.0
AUT,Austria,2004,108.0
AUT,Austria,2004,75.0
AUT,Austria,2004,87.0
AUT,Austria,2004,37.0
AUT,Austria,2004,1.59
AUT,Austria,2004,15.91
AUT,Austria,2004,9.67
AUT,Austria,2004,10.65
AUT,Austria,2004,13.22
AUT,Austria,2004,9.18
AUT,Austria,2004,18.61
AUT,Austria,2004,1.71
AUT,Austria,2004,4.53
AUT,Austria,2004,3.55
AUT,Austria,2004,0.0
AUT,Austria,2004,29.26
AUT,Austria,2004,4.53
AUT,Austria,2004,6.73
AUT,Austria,2004,0.12
AUT,Austria,2005,38.0
AUT,Austria,2005,56.0
AUT,Austria,2005,16.0
AUT,Austria,2005,81.0
AUT,Austria,2005,28.0
AUT,Austria,2005,1.0
AUT,Austria,2005,244.0
AUT,Austria,2005,133.0
AUT,Austria,2005,15.0
AUT,Austria,2005,0.0
AUT,Austria,2005,157.0
AUT,Austria,2005,109.0
AUT,Austria,2005,77.0
AUT,Austria,2005,87.0
AUT,Austria,2005,38.0
AUT,Austria,2005,1.82
AUT,Austria,2005,16.17
AUT,Austria,2005,9.85
AUT,Austria,2005,10.58
AUT,Austria,2005,13.25
AUT,Austria,2005,9.36
AUT,Austria,2005,19.09
AUT,Austria,2005,1.95
AUT,Austria,2005,4.62
AUT,Austria,2005,3.4
AUT,Austria,2005,0.0
AUT,Austria,2005,29.67
AUT,Austria,2005,4.62
AUT,Austria,2005,6.81
AUT,Austria,2005,0.12
AUT,Austria,2006,40.0
AUT,Austria,2006,60.0
AUT,Austria,2006,16.0
AUT,Austria,2006,75.0
AUT,Austria,2006,27.0
AUT,Austria,2006,1.0
AUT,Austria,2006,247.0
AUT,Austria,2006,139.0
AUT,Austria,2006,15.0
AUT,Austria,2006,0.0
AUT,Austria,2006,160.0
AUT,Austria,2006,102.0
AUT,Austria,2006,79.0
AUT,Austria,2006,87.0
AUT,Austria,2006,40.0
AUT,Austria,2006,1.81
AUT,Austria,2006,16.81
AUT,Austria,2006,9.07
AUT,Austria,2006,10.52
AUT,Austria,2006,12.34
AUT,Austria,2006,9.55
AUT,Austria,2006,19.35
AUT,Austria,2006,1.94
AUT,Austria,2006,4.84
AUT,Austria,2006,3.27
AUT,Austria,2006,0.0
AUT,Austria,2006,29.87
AUT,Austria,2006,4.84
AUT,Austria,2006,7.26
AUT,Austria,2006,0.12
AUT,Austria,2007,40.0
AUT,Austria,2007,64.0
AUT,Austria,2007,16.0
AUT,Austria,2007,70.0
AUT,Austria,2007,26.0
AUT,Austria,2007,1.0
AUT,Austria,2007,249.0
AUT,Austria,2007,147.0
AUT,Austria,2007,15.0
AUT,Austria,2007,0.0
AUT,Austria,2007,161.0
AUT,Austria,2007,96.0
AUT,Austria,2007,83.0
AUT,Austria,2007,88.0
AUT,Austria,2007,40.0
AUT,Austria,2007,4.82
AUT,Austria,2007,1.81
AUT,Austria,2007,17.72
AUT,Austria,2007,8.44
AUT,Austria,2007,10.61
AUT,Austria,2007,11.57
AUT,Austria,2007,10.01
AUT,Austria,2007,19.41
AUT,Austria,2007,1.93
AUT,Austria,2007,3.13
AUT,Austria,2007,0.0
AUT,Austria,2007,30.02
AUT,Austria,2007,4.82
AUT,Austria,2007,7.72
AUT,Austria,2007,0.12
AUT,Austria,2008,42.0
AUT,Austria,2008,65.0
AUT,Austria,2008,17.0
AUT,Austria,2008,75.0
AUT,Austria,2008,26.0
AUT,Austria,2008,1.0
AUT,Austria,2008,247.0
AUT,Austria,2008,150.0
AUT,Austria,2008,16.0
AUT,Austria,2008,0.0
AUT,Austria,2008,159.0
AUT,Austria,2008,101.0
AUT,Austria,2008,85.0
AUT,Austria,2008,88.0
AUT,Austria,2008,42.0
AUT,Austria,2008,5.05
AUT,Austria,2008,1.92
AUT,Austria,2008,9.01
AUT,Austria,2008,18.02
AUT,Austria,2008,10.57
AUT,Austria,2008,12.14
AUT,Austria,2008,10.21
AUT,Austria,2008,19.11
AUT,Austria,2008,2.04
AUT,Austria,2008,0.12
AUT,Austria,2008,3.12
AUT,Austria,2008,0.0
AUT,Austria,2008,29.68
AUT,Austria,2008,5.05
AUT,Austria,2008,7.81
AUT,Austria,2009,42.0
AUT,Austria,2009,69.0
AUT,Austria,2009,17.0
AUT,Austria,2009,26.0
AUT,Austria,2009,1.0
AUT,Austria,2009,245.0
AUT,Austria,2009,75.0
AUT,Austria,2009,154.0
AUT,Austria,2009,16.0
AUT,Austria,2009,0.0
AUT,Austria,2009,156.0
AUT,Austria,2009,101.0
AUT,Austria,2009,85.0
AUT,Austria,2009,89.0
AUT,Austria,2009,42.0
AUT,Austria,2009,5.04
AUT,Austria,2009,1.92
AUT,Austria,2009,8.99
AUT,Austria,2009,18.46
AUT,Austria,2009,10.67
AUT,Austria,2009,12.11
AUT,Austria,2009,10.19
AUT,Austria,2009,18.7
AUT,Austria,2009,2.04
AUT,Austria,2009,0.12
AUT,Austria,2009,3.12
AUT,Austria,2009,0.0
AUT,Austria,2009,29.37
AUT,Austria,2009,5.04
AUT,Austria,2009,8.27
AUT,Austria,2010,43.0
AUT,Austria,2010,70.0
AUT,Austria,2010,16.0
AUT,Austria,2010,26.0
AUT,Austria,2010,1.0
AUT,Austria,2010,250.0
AUT,Austria,2010,76.0
AUT,Austria,2010,156.0
AUT,Austria,2010,15.0
AUT,Austria,2010,0.0
AUT,Austria,2010,162.0
AUT,Austria,2010,102.0
AUT,Austria,2010,86.0
AUT,Austria,2010,88.0
AUT,Austria,2010,43.0
AUT,Austria,2010,5.14
AUT,Austria,2010,1.79
AUT,Austria,2010,9.09
AUT,Austria,2010,18.66
AUT,Austria,2010,10.53
AUT,Austria,2010,12.2
AUT,Austria,2010,10.29
AUT,Austria,2010,19.38
AUT,Austria,2010,1.91
AUT,Austria,2010,0.12
AUT,Austria,2010,3.11
AUT,Austria,2010,0.0
AUT,Austria,2010,29.9
AUT,Austria,2010,5.14
AUT,Austria,2010,8.37
AUT,Austria,2011,40.0
AUT,Austria,2011,71.0
AUT,Austria,2011,17.0
AUT,Austria,2011,25.0
AUT,Austria,2011,1.0
AUT,Austria,2011,248.0
AUT,Austria,2011,75.0
AUT,Austria,2011,157.0
AUT,Austria,2011,16.0
AUT,Austria,2011,0.0
AUT,Austria,2011,159.0
AUT,Austria,2011,100.0
AUT,Austria,2011,86.0
AUT,Austria,2011,89.0
AUT,Austria,2011,40.0
AUT,Austria,2011,4.77
AUT,Austria,2011,1.91
AUT,Austria,2011,8.94
AUT,Austria,2011,18.71
AUT,Austria,2011,10.61
AUT,Austria,2011,11.92
AUT,Austria,2011,10.25
AUT,Austria,2011,18.95
AUT,Austria,2011,2.03
AUT,Austria,2011,0.12
AUT,Austria,2011,2.98
AUT,Austria,2011,0.0
AUT,Austria,2011,29.56
AUT,Austria,2011,4.77
AUT,Austria,2011,8.46
AUT,Austria,2012,41.0
AUT,Austria,2012,17.0
AUT,Austria,2012,90.0
AUT,Austria,2012,73.0
AUT,Austria,2012,25.0
AUT,Austria,2012,1.0
AUT,Austria,2012,251.0
AUT,Austria,2012,77.0
AUT,Austria,2012,161.0
AUT,Austria,2012,16.0
AUT,Austria,2012,0.0
AUT,Austria,2012,161.0
AUT,Austria,2012,102.0
AUT,Austria,2012,88.0
AUT,Austria,2012,41.0
AUT,Austria,2012,4.87
AUT,Austria,2012,1.9
AUT,Austria,2012,9.14
AUT,Austria,2012,19.11
AUT,Austria,2012,10.68
AUT,Austria,2012,12.11
AUT,Austria,2012,10.44
AUT,Austria,2012,19.11
AUT,Austria,2012,2.02
AUT,Austria,2012,0.12
AUT,Austria,2012,2.97
AUT,Austria,2012,0.0
AUT,Austria,2012,29.79
AUT,Austria,2012,4.87
AUT,Austria,2012,8.66
AUT,Austria,2013,163.0
AUT,Austria,2013,42.0
AUT,Austria,2013,18.0
AUT,Austria,2013,26.0
AUT,Austria,2013,92.0
AUT,Austria,2013,75.0
AUT,Austria,2013,23.0
AUT,Austria,2013,2.0
AUT,Austria,2013,251.0
AUT,Austria,2013,77.0
AUT,Austria,2013,163.0
AUT,Austria,2013,16.0
AUT,Austria,2013,0.0
AUT,Austria,2013,159.0
AUT,Austria,2013,100.0
AUT,Austria,2013,88.0
AUT,Austria,2013,189.0
AUT,Austria,2013,42.0
AUT,Austria,2013,4.95
AUT,Austria,2013,1.89
AUT,Austria,2013,9.08
AUT,Austria,2013,19.23
AUT,Austria,2013,10.85
AUT,Austria,2013,11.8
AUT,Austria,2013,10.38
AUT,Austria,2013,18.76
AUT,Austria,2013,19.23
AUT,Austria,2013,2.12
AUT,Austria,2013,0.24
AUT,Austria,2013,2.71
AUT,Austria,2013,3.07
AUT,Austria,2013,0.0
AUT,Austria,2013,29.61
AUT,Austria,2013,4.95
AUT,Austria,2013,22.3
AUT,Austria,2013,8.85
AUT,Austria,2014,177.0
AUT,Austria,2014,42.0
AUT,Austria,2014,19.0
AUT,Austria,2014,24.0
AUT,Austria,2014,92.0
AUT,Austria,2014,79.0
AUT,Austria,2014,23.0
AUT,Austria,2014,2.0
AUT,Austria,2014,251.0
AUT,Austria,2014,76.0
AUT,Austria,2014,168.0
AUT,Austria,2014,17.0
AUT,Austria,2014,0.0
AUT,Austria,2014,159.0
AUT,Austria,2014,99.0
AUT,Austria,2014,89.0
AUT,Austria,2014,201.0
AUT,Austria,2014,42.0
AUT,Austria,2014,4.92
AUT,Austria,2014,1.99
AUT,Austria,2014,8.9
AUT,Austria,2014,19.66
AUT,Austria,2014,10.77
AUT,Austria,2014,11.59
AUT,Austria,2014,10.42
AUT,Austria,2014,18.61
AUT,Austria,2014,20.72
AUT,Austria,2014,2.22
AUT,Austria,2014,0.23
AUT,Austria,2014,2.69
AUT,Austria,2014,2.81
AUT,Austria,2014,0.0
AUT,Austria,2014,29.38
AUT,Austria,2014,4.92
AUT,Austria,2014,23.53
AUT,Austria,2014,9.25
AUT,Austria,2015,180.0
AUT,Austria,2015,42.0
AUT,Austria,2015,20.0
AUT,Austria,2015,22.0
AUT,Austria,2015,93.0
AUT,Austria,2015,87.0
AUT,Austria,2015,23.0
AUT,Austria,2015,3.0
AUT,Austria,2015,250.0
AUT,Austria,2015,75.0
AUT,Austria,2015,179.0
AUT,Austria,2015,17.0
AUT,Austria,2015,0.0
AUT,Austria,2015,157.0
AUT,Austria,2015,98.0
AUT,Austria,2015,92.0
AUT,Austria,2015,202.0
AUT,Austria,2015,42.0
AUT,Austria,2015,4.87
AUT,Austria,2015,20.74
AUT,Austria,2015,1.97
AUT,Austria,2015,8.69
AUT,Austria,2015,10.78
AUT,Austria,2015,11.36
AUT,Austria,2015,10.66
AUT,Austria,2015,18.19
AUT,Austria,2015,20.86
AUT,Austria,2015,2.32
AUT,Austria,2015,0.35
AUT,Austria,2015,2.67
AUT,Austria,2015,2.55
AUT,Austria,2015,0.0
AUT,Austria,2015,28.97
AUT,Austria,2015,4.87
AUT,Austria,2015,23.41
AUT,Austria,2015,10.08
AUT,Austria,2016,178.0
AUT,Austria,2016,42.0
AUT,Austria,2016,23.0
AUT,Austria,2016,21.0
AUT,Austria,2016,97.0
AUT,Austria,2016,100.0
AUT,Austria,2016,22.0
AUT,Austria,2016,4.0
AUT,Austria,2016,254.0
AUT,Austria,2016,71.0
AUT,Austria,2016,196.0
AUT,Austria,2016,19.0
AUT,Austria,2016,1.0
AUT,Austria,2016,157.0
AUT,Austria,2016,93.0
AUT,Austria,2016,96.0
AUT,Austria,2016,199.0
AUT,Austria,2016,43.0
AUT,Austria,2016,4.92
AUT,Austria,2016,22.43
AUT,Austria,2016,2.17
AUT,Austria,2016,8.12
AUT,Austria,2016,11.1
AUT,Austria,2016,10.64
AUT,Austria,2016,10.98
AUT,Austria,2016,17.96
AUT,Austria,2016,20.37
AUT,Austria,2016,2.63
AUT,Austria,2016,0.46
AUT,Austria,2016,2.52
AUT,Austria,2016,2.4
AUT,Austria,2016,0.11
AUT,Austria,2016,29.06
AUT,Austria,2016,4.81
AUT,Austria,2016,22.77
AUT,Austria,2016,11.44
AUT,Austria,2017,172.0
AUT,Austria,2017,46.0
AUT,Austria,2017,24.0
AUT,Austria,2017,20.0
AUT,Austria,2017,98.0
AUT,Austria,2017,104.0
AUT,Austria,2017,22.0
AUT,Austria,2017,4.0
AUT,Austria,2017,252.0
AUT,Austria,2017,71.0
AUT,Austria,2017,202.0
AUT,Austria,2017,47.0
AUT,Austria,2017,20.0
AUT,Austria,2017,1.0
AUT,Austria,2017,154.0
AUT,Austria,2017,93.0
AUT,Austria,2017,98.0
AUT,Austria,2017,192.0
AUT,Austria,2017,5.34
AUT,Austria,2017,22.97
AUT,Austria,2017,2.27
AUT,Austria,2017,8.07
AUT,Austria,2017,11.14
AUT,Austria,2017,10.57
AUT,Austria,2017,11.14
AUT,Austria,2017,17.51
AUT,Austria,2017,19.56
AUT,Austria,2017,2.73
AUT,Austria,2017,0.45
AUT,Austria,2017,2.5
AUT,Austria,2017,2.27
AUT,Austria,2017,0.11
AUT,Austria,2017,28.65
AUT,Austria,2017,5.23
AUT,Austria,2017,21.83
AUT,Austria,2017,11.82
AUT,Austria,2018,170.0
AUT,Austria,2018,45.0
AUT,Austria,2018,24.0
AUT,Austria,2018,20.0
AUT,Austria,2018,98.0
AUT,Austria,2018,108.0
AUT,Austria,2018,22.0
AUT,Austria,2018,4.0
AUT,Austria,2018,255.0
AUT,Austria,2018,71.0
AUT,Austria,2018,208.0
AUT,Austria,2018,46.0
AUT,Austria,2018,20.0
AUT,Austria,2018,1.0
AUT,Austria,2018,157.0
AUT,Austria,2018,93.0
AUT,Austria,2018,100.0
AUT,Austria,2018,190.0
AUT,Austria,2018,5.2
AUT,Austria,2018,23.53
AUT,Austria,2018,2.26
AUT,Austria,2018,8.03
AUT,Austria,2018,11.09
AUT,Austria,2018,10.52
AUT,Austria,2018,11.31
AUT,Austria,2018,17.76
AUT,Austria,2018,19.24
AUT,Austria,2018,2.72
AUT,Austria,2018,0.45
AUT,Austria,2018,2.49
AUT,Austria,2018,2.26
AUT,Austria,2018,0.11
AUT,Austria,2018,28.85
AUT,Austria,2018,5.09
AUT,Austria,2018,21.5
AUT,Austria,2018,12.22
AUT,Austria,2019,172.0
AUT,Austria,2019,48.0
AUT,Austria,2019,24.0
AUT,Austria,2019,21.0
AUT,Austria,2019,97.0
AUT,Austria,2019,116.0
AUT,Austria,2019,23.0
AUT,Austria,2019,4.0
AUT,Austria,2019,255.0
AUT,Austria,2019,68.0
AUT,Austria,2019,222.0
AUT,Austria,2019,49.0
AUT,Austria,2019,20.0
AUT,Austria,2019,1.0
AUT,Austria,2019,158.0
AUT,Austria,2019,91.0
AUT,Austria,2019,106.0
AUT,Austria,2019,193.0
AUT,Austria,2019,5.52
AUT,Austria,2019,25.01
AUT,Austria,2019,2.25
AUT,Austria,2019,7.66
AUT,Austria,2019,10.93
AUT,Austria,2019,10.25
AUT,Austria,2019,11.94
AUT,Austria,2019,17.8
AUT,Austria,2019,19.37
AUT,Austria,2019,2.7
AUT,Austria,2019,0.45
AUT,Austria,2019,2.59
AUT,Austria,2019,2.37
AUT,Austria,2019,0.11
AUT,Austria,2019,28.72
AUT,Austria,2019,5.41
AUT,Austria,2019,21.74
AUT,Austria,2019,13.07
BEL,Belgium,2000,0.0
BEL,Belgium,2000,0.0
BEL,Belgium,2000,292.0
BEL,Belgium,2000,292.0
BEL,Belgium,2000,128.0
BEL,Belgium,2000,128.0
BEL,Belgium,2000,0.0
BEL,Belgium,2000,28.49
BEL,Belgium,2000,0.0
BEL,Belgium,2000,12.49
BEL,Belgium,2000,12.49
BEL,Belgium,2000,28.49
BEL,Belgium,2001,0.0
BEL,Belgium,2001,0.0
BEL,Belgium,2001,292.0
BEL,Belgium,2001,292.0
BEL,Belgium,2001,135.0
BEL,Belgium,2001,135.0
BEL,Belgium,2001,0.0
BEL,Belgium,2001,28.39
BEL,Belgium,2001,0.0
BEL,Belgium,2001,13.12
BEL,Belgium,2001,13.12
BEL,Belgium,2001,28.39
BEL,Belgium,2002,23.0
BEL,Belgium,2002,381.0
BEL,Belgium,2002,0.0
BEL,Belgium,2002,169.0
BEL,Belgium,2002,0.0
BEL,Belgium,2002,320.0
BEL,Belgium,2002,320.0
BEL,Belgium,2002,23.0
BEL,Belgium,2002,68.0
BEL,Belgium,2002,131.0
BEL,Belgium,2002,0.0
BEL,Belgium,2002,0.0
BEL,Belgium,2002,131.0
BEL,Belgium,2002,212.0
BEL,Belgium,2002,68.0
BEL,Belgium,2002,20.52
BEL,Belgium,2002,0.0
BEL,Belgium,2002,0.0
BEL,Belgium,2002,30.97
BEL,Belgium,2002,2.23
BEL,Belgium,2002,6.58
BEL,Belgium,2002,6.58
BEL,Belgium,2002,0.0
BEL,Belgium,2002,0.0
BEL,Belgium,2002,12.68
BEL,Belgium,2002,12.68
BEL,Belgium,2002,30.97
BEL,Belgium,2002,36.87
BEL,Belgium,2002,16.36
BEL,Belgium,2002,2.23
BEL,Belgium,2003,23.0
BEL,Belgium,2003,397.0
BEL,Belgium,2003,0.0
BEL,Belgium,2003,174.0
BEL,Belgium,2003,0.0
BEL,Belgium,2003,109.0
BEL,Belgium,2003,107.0
BEL,Belgium,2003,332.0
BEL,Belgium,2003,332.0
BEL,Belgium,2003,23.0
BEL,Belgium,2003,71.0
BEL,Belgium,2003,131.0
BEL,Belgium,2003,0.0
BEL,Belgium,2003,0.0
BEL,Belgium,2003,2.0
BEL,Belgium,2003,131.0
BEL,Belgium,2003,223.0
BEL,Belgium,2003,71.0
BEL,Belgium,2003,21.49
BEL,Belgium,2003,0.19
BEL,Belgium,2003,0.0
BEL,Belgium,2003,0.0
BEL,Belgium,2003,2.22
BEL,Belgium,2003,32.0
BEL,Belgium,2003,6.84
BEL,Belgium,2003,10.51
BEL,Belgium,2003,6.84
BEL,Belgium,2003,10.31
BEL,Belgium,2003,0.0
BEL,Belgium,2003,0.0
BEL,Belgium,2003,12.63
BEL,Belgium,2003,12.63
BEL,Belgium,2003,32.0
BEL,Belgium,2003,38.26
BEL,Belgium,2003,16.77
BEL,Belgium,2003,2.22
BEL,Belgium,2004,27.0
BEL,Belgium,2004,407.0
BEL,Belgium,2004,0.0
