Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Mexico,MEX,2006,107253666
Mexico,MEX,2007,108774357
Mexico,MEX,2008,110374285
Mexico,MEX,2009,111999721
Mexico,MEX,2010,113623897
Mexico,MEX,2011,115243504
Mexico,MEX,2012,116818209
Mexico,MEX,2013,118343571
Mexico,MEX,2014,119784263
Mexico,MEX,2015,121072310
Mexico,MEX,2016,122251345
Mexico,MEX,2017,123400054
Mexico,MEX,2018,124573714
Mexico,MEX,2019,125762977
Netherlands,NLD,2000,16058758
Netherlands,NLD,2001,16182705
Netherlands,NLD,2002,16288060
Netherlands,NLD,2003,16366914
Netherlands,NLD,2004,16425561
Netherlands,NLD,2005,16465707
Netherlands,NLD,2006,16493851
Netherlands,NLD,2007,16531360
Netherlands,NLD,2008,16597257
Netherlands,NLD,2009,16684147
Netherlands,NLD,2010,16771232
Netherlands,NLD,2011,16851061
Netherlands,NLD,2012,16915191
Netherlands,NLD,2013,16967065
Netherlands,NLD,2014,17030087
Netherlands,NLD,2015,17107427
Netherlands,NLD,2016,17204694
Netherlands,NLD,2017,17315375
Netherlands,NLD,2018,17421284
Netherlands,NLD,2019,17537506
New Zealand,NZL,2000,3857576
New Zealand,NZL,2001,3891763
New Zealand,NZL,2002,3951114
New Zealand,NZL,2003,4022585
New Zealand,NZL,2004,4083911
New Zealand,NZL,2005,4135004
New Zealand,NZL,2006,4181942
New Zealand,NZL,2007,4223268
New Zealand,NZL,2008,4261819
New Zealand,NZL,2009,4304304
New Zealand,NZL,2010,4347767
New Zealand,NZL,2011,4382702
New Zealand,NZL,2012,4411682
New Zealand,NZL,2013,4453859
New Zealand,NZL,2014,4522977
New Zealand,NZL,2015,4614037
New Zealand,NZL,2016,4714768
New Zealand,NZL,2017,4812748
New Zealand,NZL,2018,4900844
New Zealand,NZL,2019,4989412
Poland,POL,2000,38258076
Poland,POL,2001,38247357
Poland,POL,2002,38229406
Poland,POL,2003,38203525
Poland,POL,2004,38167567
Poland,POL,2005,38124377
Poland,POL,2006,38071170
Poland,POL,2007,38020420
Poland,POL,2008,37995902
Poland,POL,2009,38002154
Poland,POL,2010,38095356
Poland,POL,2011,38208644
Poland,POL,2012,38247868
Poland,POL,2013,38259266
Poland,POL,2014,38265113
Poland,POL,2015,38266314
Poland,POL,2016,38263259
Poland,POL,2017,38254964
Poland,POL,2018,38241070
Poland,POL,2019,38225884
Portugal,PRT,2000,10283196
Portugal,PRT,2001,10354328
Portugal,PRT,2002,10413046
Portugal,PRT,2003,10454245
Portugal,PRT,2004,10481384
Portugal,PRT,2005,10502994
Portugal,PRT,2006,10524122
Portugal,PRT,2007,10546821
Portugal,PRT,2008,10564085
Portugal,PRT,2009,10576264
Portugal,PRT,2010,10578659
Portugal,PRT,2011,10557049
Portugal,PRT,2012,10513154
Portugal,PRT,2013,10458286
Portugal,PRT,2014,10406202
Portugal,PRT,2015,10370266
Portugal,PRT,2016,10346377
Portugal,PRT,2017,10330836
Portugal,PRT,2018,10325353
Portugal,PRT,2019,10343218
Slovakia,SVK,2000,5380001
Slovakia,SVK,2001,5379439
Slovakia,SVK,2002,5377685
Slovakia,SVK,2003,5376198
Slovakia,SVK,2004,5376039
Slovakia,SVK,2005,5376696
Slovakia,SVK,2006,5376847
Slovakia,SVK,2007,5376995
Slovakia,SVK,2008,5379125
Slovakia,SVK,2009,5385074
Slovakia,SVK,2010,5391857
Slovakia,SVK,2011,5398104
Slovakia,SVK,2012,5404877
Slovakia,SVK,2013,5410422
Slovakia,SVK,2014,5415237
Slovakia,SVK,2015,5420279
Slovakia,SVK,2016,5427262
Slovakia,SVK,2017,5435704
Slovakia,SVK,2018,5443230
Slovakia,SVK,2019,5450626
Slovenia,SVN,2000,1986818
Slovenia,SVN,2001,1989685
Slovenia,SVN,2002,1991573
Slovenia,SVN,2003,1992502
Slovenia,SVN,2004,1993549
Slovenia,SVN,2005,1996914
Slovenia,SVN,2006,2003113
Slovenia,SVN,2007,2014161
Slovenia,SVN,2008,2025090
Slovenia,SVN,2009,2035611
Slovenia,SVN,2010,2044612
Slovenia,SVN,2011,2048805
Slovenia,SVN,2012,2053321
Slovenia,SVN,2013,2056452
Slovenia,SVN,2014,2058396
Slovenia,SVN,2015,2059947
Slovenia,SVN,2016,2061379
Slovenia,SVN,2017,2062410
Slovenia,SVN,2018,2069484
Slovenia,SVN,2019,2083436
South Korea,KOR,2000,46766659
South Korea,KOR,2001,47043466
South Korea,KOR,2002,47299118
South Korea,KOR,2003,47514158
South Korea,KOR,2004,47697076
South Korea,KOR,2005,47851646
South Korea,KOR,2006,48006518
South Korea,KOR,2007,48178122
South Korea,KOR,2008,48356486
South Korea,KOR,2009,48546689
South Korea,KOR,2010,48769330
South Korea,KOR,2011,49127641
South Korea,KOR,2012,49599579
South Korea,KOR,2013,50071168
South Korea,KOR,2014,50539055
South Korea,KOR,2015,50983908
South Korea,KOR,2016,51297837
South Korea,KOR,2017,51486268
South Korea,KOR,2018,51640894
South Korea,KOR,2019,51767843
Spain,ESP,2000,41019773
Spain,ESP,2001,41245604
Spain,ESP,2002,41755702
Spain,ESP,2003,42506541
Spain,ESP,2004,43234563
Spain,ESP,2005,43958884
Spain,ESP,2006,44695446
Spain,ESP,2007,45516501
Spain,ESP,2008,46235055
Spain,ESP,2009,46635182
Spain,ESP,2010,46840470
Spain,ESP,2011,46998040
Spain,ESP,2012,47018321
Spain,ESP,2013,46860393
Spain,ESP,2014,46720186
Spain,ESP,2015,46683683
Spain,ESP,2016,46732766
Spain,ESP,2017,46868594
Spain,ESP,2018,47092817
Spain,ESP,2019,47435120
Switzerland,CHE,2000,7184003
Switzerland,CHE,2001,7226391
Switzerland,CHE,2002,7278744
Switzerland,CHE,2003,7333450
Switzerland,CHE,2004,7384196
Switzerland,CHE,2005,7431824
Switzerland,CHE,2006,7478514
Switzerland,CHE,2007,7545386
Switzerland,CHE,2008,7641729
Switzerland,CHE,2009,7737642
Switzerland,CHE,2010,7825751
Switzerland,CHE,2011,7914378
Switzerland,CHE,2012,7998927
Switzerland,CHE,2013,8091197
Switzerland,CHE,2014,8190238
Switzerland,CHE,2015,8283940
Switzerland,CHE,2016,8374902
Switzerland,CHE,2017,8453628
Switzerland,CHE,2018,8516339
Switzerland,CHE,2019,8577526
Turkey,TUR,2000,65425958
Turkey,TUR,2001,66245126
Turkey,TUR,2002,67048793
Turkey,TUR,2003,67831736
Turkey,TUR,2004,68592621
Turkey,TUR,2005,69329555
Turkey,TUR,2006,70045352
Turkey,TUR,2007,70750595
Turkey,TUR,2008,71562344
Turkey,TUR,2009,72464845
Turkey,TUR,2010,73346766
Turkey,TUR,2011,74215200
Turkey,TUR,2012,75197195
Turkey,TUR,2013,76403032
Turkey,TUR,2014,78036154
Turkey,TUR,2015,80014221
Turkey,TUR,2016,81652086
Turkey,TUR,2017,83083668
Turkey,TUR,2018,84415966
Turkey,TUR,2019,85357671
United Kingdom,GBR,2000,59057336
United Kingdom,GBR,2001,59288095
United Kingdom,GBR,2002,59540763
United Kingdom,GBR,2003,59820385
United Kingdom,GBR,2004,60169964
United Kingdom,GBR,2005,60596108
United Kingdom,GBR,2006,61051093
United Kingdom,GBR,2007,61535860
United Kingdom,GBR,2008,62027303
United Kingdom,GBR,2009,62506221
United Kingdom,GBR,2010,63006484
United Kingdom,GBR,2011,63509285
United Kingdom,GBR,2012,63960487
United Kingdom,GBR,2013,64389386
United Kingdom,GBR,2014,64865914
United Kingdom,GBR,2015,65382107
United Kingdom,GBR,2016,65893359
United Kingdom,GBR,2017,66354474
United Kingdom,GBR,2018,66752473
United Kingdom,GBR,2019,67110958
United States,USA,2000,281484127
United States,USA,2001,284279629
United States,USA,2002,287084336
United States,USA,2003,289908091
United States,USA,2004,292786247
United States,USA,2005,295716665
United States,USA,2006,298730210
United States,USA,2007,301844227
United States,USA,2008,304970328
United States,USA,2009,308023451
United States,USA,2010,311062786
United States,USA,2011,314105078
United States,USA,2012,317115348
United States,USA,2013,320110753
United States,USA,2014,323115378
United States,USA,2015,326126498
United States,USA,2016,329179421
United States,USA,2017,332204656
United States,USA,2018,335056495
United States,USA,2019,337790068
