STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,OWNERSHIP_TYPE,Hospital type,HEALTH_FUNCTION,Healthcare function,CARE_TYPE,Care type,MEDICAL_TECH,Medical technology,HEALTH_CARE_PROVIDER,Healthcare provider,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,519976,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,521741,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,520974,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,503770,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,4,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,0,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,20,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,11,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,10,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,89,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,108,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUS,Australia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,5555530,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,5680669,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FRA,France,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,5315010,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,FIN,Finland,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,108256,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,122477,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,115539,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,106296,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,106471,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,109607,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,111075,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,EST,Estonia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,110387,,,,D,Definition differs,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,1061935,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,1036288,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,942023,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1117018,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,1095303,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT95,Adult intensive care unit (ICU) hospital bed occupancy over 95%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,12,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,CZE,Czechia,HBO_ICU_A_GT80,Adult intensive care unit (ICU) hospital bed occupancy over 80%,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,BEL,Belgium,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,489020,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,525512,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,491737,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,520686,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,AUT,Austria,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,520824,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,LTU,Lithuania,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,135392,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,LTU,Lithuania,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,128773,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,LTU,Lithuania,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,137807,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,LTU,Lithuania,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,121646,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,LTU,Lithuania,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,131116,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,KOR,Korea,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,1963299,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_REAC_HOSP@DF_BEDS_ICU(1.0),Intensive care unit (ICU) beds and use,I,KOR,Korea,HBU_ICU_A,Adult intensive care unit (ICU) hospital beds,D,Days,_Z,Not applicable​​,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,1834939,,,,,,,,,,,,,
